"","core","drive","depth_core","totalHolDepth","depth_composite","median_age","quant_5perc","quant_95perc"
"499","4A","2B",20,361,498,13615,13232.95,13887
"500","4A","2B",21,362,499,13634.5,13254.9,13902
"501","4A","2B",22,363,500,13655,13279.95,13915.05
"502","4A","2B",23,364,501,13676.5,13324.95,13930.1
"503","4A","2B",24,365,502,13699,13363.95,13945
"504","4A","2B",25,366,503,13724,13390,13956.1
"505","4A","2B",26,367,504,13746.5,13417.95,13971
"506","4A","2B",27,368,505,13772.5,13453,13992
"507","4A","2B",28,369,506,13796,13478.95,14006.15
"508","4A","2B",29,370,507,13822,13538.6,14029
"509","4A","2B",30,371,508,13852.5,13591.8,14048.05
"510","4A","2B",31,372,509,13885,13665.9,14073.05
"511","4A","2B",32,373,510,13935.5,13751.95,14120.05
"512","4A","2B",33,374,511,13986,13795,14201.05
"513","4A","2B",34,375,512,14017,13827.8,14249
"514","4A","2B",35,376,513,14049,13853.95,14294
"515","4A","2B",36,377,514,14077.5,13872,14323.1
"516","4A","2B",37,378,515,14106,13890.95,14349.05
"517","4A","2B",38,379,516,14130.5,13906.9,14379.05
"518","4A","2B",39,380,517,14151,13920.95,14407.1
"519","4A","2B",40,381,518,14178,13940,14438.1
"520","4A","2B",41,382,519,14203,13961,14475.15
"521","4A","2B",42,383,520,14227,13978,14507.15
"522","4A","2B",43,384,521,14253,13991,14553
"523","4A","2B",44,385,522,14277.5,14007.95,14582
"524","4A","2B",45,386,523,14302,14026.9,14611.05
"525","4A","2B",46,387,524,14344.5,14052.95,14654.15
"526","4A","2B",47,388,525,14396,14092.9,14717.05
"527","4A","2B",48,389,526,14460.5,14162.95,14775.05
"528","4A","2B",49,390,527,14504,14208.9,14809.15
"529","4A","2B",50,391,528,14543,14250.9,14839.15
"530","4A","2B",51,392,529,14581,14287.95,14865.35
"531","4A","2B",52,393,530,14611,14322.95,14892
"532","4A","2B",53,394,531,14647,14360.9,14918.1
"533","4A","2B",54,395,532,14681.5,14389.95,14949.05
"534","4A","2B",55,396,533,14717,14421.95,14979.1
"535","4A","2B",56,397,534,14760,14458.65,15023.05
"536","4A","2B",57,398,535,14814,14500,15081
"537","4A","2B",58,399,536,14860,14550.95,15105
"538","4A","2B",59,400,537,14883.5,14586.9,15128.1
"539","4A","2B",60,401,538,14902.5,14621,15146
"540","4A","2B",61,402,539,14921,14645.85,15160.05
"541","4A","2B",62,403,540,14937,14662.9,15172.05
"542","4A","2B",63,404,541,14952,14687.85,15182.1
"543","4A","2B",64,405,542,14967.5,14705.95,15194.25
"544","4A","2B",65,406,543,14986,14717.95,15213
"545","4A","2B",66,407,544,15002,14732.95,15228.05
"546","4A","2B",67,408,545,15018,14757.95,15243.05
"547","4A","2B",68,409,546,15037.5,14780.95,15254.05
"548","4A","2B",69,410,547,15053,14802,15266.05
"549","4A","2B",70,411,548,15072.5,14827.9,15285.05
"550","4A","2B",71,412,549,15095,14853.95,15301
"551","4A","2B",72,413,550,15120,14885.9,15324
"552","4A","2B",73,414,551,15158.5,14936.95,15368.05
"553","4A","2B",74,415,552,15209,14986,15428.15
"554","4A","2B",75,416,553,15244.5,15024.95,15471.05
"555","4A","2B",76,417,554,15285,15051.9,15519.05
"556","4A","2B",77,418,555,15325.5,15071.95,15559
"557","4A","2B",78,419,556,15360.5,15103.85,15600.05
"558","4A","2B",79,420,557,15403.5,15124.95,15655.05
"559","4A","2B",80,421,558,15443,15162.9,15724
"560","4A","2B",81,422,559,15498,15203,15800.05
"561","4A","2B",82,423,560,15556.5,15267.85,15842.15
"562","4A","2B",83,424,561,15596,15305.95,15886
"563","4A","2B",84,425,562,15631,15337,15924.1
"564","4A","2B",85,426,563,15666.5,15361.85,15963
"565","4A","2B",86,427,564,15703.5,15386.95,15990.05
"566","4A","2B",87,428,565,15745,15411,16046.05
"567","4A","2B",88,429,566,15785,15429.95,16089.05
"568","4A","2B",89,430,567,15834,15466.85,16147.05
"569","4A","2B",90,431,568,15866,15515.75,16177.05
"570","4A","2B",91,432,569,15889.5,15552.75,16206.1
"571","4A","2B",92,433,570,15906,15578.75,16234.3
"572","4A","2B",93,434,571,15922.5,15600.8,16259.1
"573","4A","2B",94,435,572,15943.5,15613.8,16280.05
"574","4A","2B",95,436,573,15963,15627.9,16299
"575","4A","2B",96,437,574,15979.5,15637.85,16310
"576","4A","2B",97,438,575,15998.5,15653.8,16323.2
"577","4A","2B",98,439,576,16015.5,15665,16337.15
"578","4A","2B",99,440,577,16025.5,15682.95,16353.05
"579","4A","2B",100,441,578,16042,15700.9,16372.05
"580","4A","3L",0,441,579,16063,15712.75,16389
"581","4A","3L",1,442,580,16077.5,15723,16405.05
"582","4A","3L",2,443,581,16094,15736.9,16422.2
"583","4A","3L",3,444,582,16112,15755.95,16450.05
"584","4A","3L",4,445,583,16133,15780,16463.15
"585","4A","3L",5,446,584,16153,15795,16491.2
"586","4A","3L",6,447,585,16174.5,15817,16519
"587","4A","3L",7,448,586,16205.5,15842.75,16546.05
"588","4A","3L",8,449,587,16235,15870.9,16596.5
"589","4A","3L",9,450,588,16289,15920.9,16666.05
"590","4A","3L",10,451,589,16323.5,15963.85,16698
"591","4A","3L",11,452,590,16358.5,15991.5,16738.1
"592","4A","3L",12,453,591,16383,16015.85,16766.15
"593","4A","3L",13,454,592,16400.5,16026.95,16792.05
"594","4A","3L",14,455,593,16429,16049.95,16808.15
"595","4A","3L",15,456,594,16449.5,16074.95,16829.05
"596","4A","3L",16,457,595,16470.5,16088,16844
"597","4A","3L",17,458,596,16494,16117.85,16862.15
"598","4A","3L",18,459,597,16509.5,16134.95,16891
"599","4A","3L",19,460,598,16534,16147.7,16912.3
"600","4A","3L",20,461,599,16554,16168.9,16941.15
"601","4A","3L",21,462,600,16574,16179,16963
"602","4A","3L",22,463,601,16593,16195,16983.1
"603","4A","3L",23,464,602,16604.5,16213.9,16998
"604","4A","3L",24,465,603,16621,16228,17018.1
"605","4A","3L",25,466,604,16638.5,16238.95,17028.15
"606","4A","3L",26,467,605,16656.5,16258.95,17043.05
"607","4A","3L",27,468,606,16672.5,16273,17061
"608","4A","3L",28,469,607,16693.5,16288.95,17076.05
"609","4A","3L",29,470,608,16711,16308.95,17084.3
"610","4A","3L",30,471,609,16725.5,16332.75,17100.05
"611","4A","3L",31,472,610,16747,16352.85,17109.15
"612","4A","3L",32,473,611,16764.5,16366.85,17123.05
"613","4A","3L",33,474,612,16784,16387.85,17143.15
"614","4A","3L",34,475,613,16804.5,16405.75,17152.15
"615","4A","3L",35,476,614,16823,16429.95,17178.05
"616","4A","3L",36,477,615,16840,16452.7,17191.15
"617","4A","3L",37,478,616,16855.5,16463.8,17205.1
"618","4A","3L",38,479,617,16876,16486.95,17212.05
"619","4A","3L",39,480,618,16902,16508.95,17220
"620","4A","3L",40,481,619,16920,16521.85,17228.05
"621","4A","3L",41,482,620,16937,16539.95,17236
"622","4A","3L",42,483,621,16958,16560.9,17242.1
"623","4A","3L",43,484,622,16975,16582.85,17252.1
"624","4A","3L",44,485,623,16990,16596.85,17264.1
"625","4A","3L",45,486,624,17009,16629.9,17275.1
"626","4A","3L",46,487,625,17029.5,16653.8,17284.05
"627","4A","3L",47,488,626,17046.5,16677.95,17291
"628","4A","3L",48,489,627,17064.5,16694.95,17298
"629","4A","3L",49,490,628,17080.5,16714.9,17305.1
"630","4A","3L",50,491,629,17104,16738.8,17312.2
"631","4A","3L",51,492,630,17123.5,16770.9,17323
"632","4A","3L",52,493,631,17144,16804.95,17330.1
"633","4A","3L",53,494,632,17163,16834.65,17339
"634","4A","3L",54,495,633,17185.5,16876.95,17349
"635","4A","3L",55,496,634,17207.5,16905,17356.05
"636","4A","3L",56,497,635,17231,16942.8,17365
"637","4A","3L",57,498,636,17258,16984.8,17375.05
"638","4A","3L",58,499,637,17285,17030.9,17385.05
"639","4A","3L",59,500,638,17310,17093,17398.05
"640","4A","3L",60,501,639,17352,17168,17425.05
"641","4A","3L",61,502,640,17421,17245.9,17535.05
"642","4A","3L",62,503,641,17471,17291.9,17652.1
"643","4A","3L",63,504,642,17524.5,17342.85,17781.05
"644","4A","3L",64,505,643,17600,17387.9,17911.05
"645","4A","3L",65,506,644,17632,17412.95,17946.1
"646","4A","3L",66,507,645,17658.5,17428.95,17974.1
"647","4A","3L",67,508,646,17681,17445.9,17994.2
"648","4A","3L",68,509,647,17702,17463,18024.15
"649","4A","3L",69,510,648,17716.5,17474,18046.05
"650","4A","3L",70,511,649,17735,17483,18056.3
"651","4A","3L",71,512,650,17748.5,17497,18067.3
"652","4A","3L",72,513,651,17764.5,17503.95,18094.15
"653","4A","3L",73,514,652,17778.5,17513,18117.2
"654","4A","3L",74,515,653,17793,17522.85,18133
"655","4A","3L",75,516,654,17807,17534.9,18166.1
"656","4A","3L",76,517,655,17822,17544.9,18179
"657","4A","3L",77,518,656,17833.5,17552.9,18190
"658","4A","3L",78,519,657,17846,17562,18202.05
"659","4A","3L",79,520,658,17860.5,17567.95,18217.05
"660","4A","3L",80,521,659,17880.5,17574.9,18231.05
"661","4A","3L",81,522,660,17893,17581.95,18248
"662","4A","3L",82,523,661,17908.5,17590,18271.05
"663","4A","3L",83,524,662,17921,17602.9,18284
"664","4A","3L",84,525,663,17933,17616.8,18303.05
"665","4A","3L",85,526,664,17945,17623,18319.1
"666","4A","3L",86,527,665,17958,17630.85,18341.1
"667","4A","3L",87,528,666,17975,17645.4,18357
"668","4A","3L",88,529,667,17987,17651.35,18376.1
"669","4A","3L",89,530,668,18000.5,17662.9,18395.1
"670","4A","3L",90,531,669,18016,17668.85,18413.1
"671","4A","3L",91,532,670,18033.5,17676.9,18435.05
"672","4A","3L",92,533,671,18052,17689.8,18445.05
"673","4A","3L",93,534,672,18068,17694.8,18466
"674","4A","3L",94,535,673,18084.5,17708.95,18482.1
"675","4A","3L",95,536,674,18102,17721.85,18500.2
"676","4A","3L",96,537,675,18118.5,17734.7,18520.1
"677","4A","3L",97,538,676,18138,17741.7,18544.1
"678","4A","3L",98,539,677,18160,17744.9,18575.15
"679","4A","3L",99,540,678,18190.5,17772.95,18599.05
"680","4A","4L",0,541,679,18235,17795.85,18645
"681","4A","4L",1,542,680,18276.5,17841.9,18665
"682","4A","4L",2,543,681,18309,17876.95,18687.1
"683","4A","4L",3,544,682,18333,17903.95,18700.45
"684","4A","4L",4,545,683,18352.5,17922.9,18720
"685","4A","4L",5,546,684,18367,17947.8,18726.1
"686","4A","4L",6,547,685,18379,17965,18739.15
"687","4A","4L",7,548,686,18396,17983.95,18752.05
"688","4A","4L",8,549,687,18415,18004.9,18763.1
"689","4A","4L",9,550,688,18431,18020.95,18771.15
"690","4A","4L",10,551,689,18446.5,18035,18787.15
"691","4A","4L",11,552,690,18463.5,18049.95,18794.15
"692","4A","4L",12,553,691,18477,18065.9,18803.2
"693","4A","4L",13,554,692,18492,18082.9,18816.05
"694","4A","4L",14,555,693,18511.5,18102.8,18821.1
"695","4A","4L",15,556,694,18527.5,18114.9,18832.05
"696","4A","4L",16,557,695,18540.5,18136.5,18844
"697","4A","4L",17,558,696,18556.5,18143.8,18858.1
"698","4A","4L",18,559,697,18571,18150.95,18866.05
"699","4A","4L",19,560,698,18587.5,18166,18880.25
"700","4A","4L",20,561,699,18604.5,18182.85,18891.15
"701","4A","4L",21,562,700,18622,18209.9,18903.05
"702","4A","4L",22,563,701,18637.5,18230.85,18911.05
"703","4A","4L",23,564,702,18653,18251.9,18921
"704","4A","4L",24,565,703,18669,18279.65,18927.1
"705","4A","4L",25,566,704,18683.5,18305.95,18937.05
"706","4A","4L",26,567,705,18700,18330.95,18952.05
"707","4A","4L",27,568,706,18716,18354.85,18957.1
"708","4A","4L",28,569,707,18731,18388.7,18965.05
"709","4A","4L",29,570,708,18750,18420.7,18972.05
"710","4A","4L",30,571,709,18763,18445,18979
"711","4A","4L",31,572,710,18779,18469.75,18993.05
"712","4A","4L",32,573,711,18794,18500.95,19010.05
"713","4A","4L",33,574,712,18813.5,18532.8,19024.05
"714","4A","4L",34,575,713,18838,18566.9,19039
"715","4A","4L",35,576,714,18860.5,18617,19059.25
"716","4A","4L",36,577,715,18901,18686.8,19099
"717","4A","4L",37,578,716,18990,18745.9,19353.1
"718","4A","4L",38,579,717,19045,18778.95,19515.05
"719","4A","4L",39,580,718,19090.5,18813.75,19641.2
"720","4A","4L",40,581,719,19135.5,18837.95,19772
"721","4A","4L",41,582,720,19179,18863.8,19864.1
"722","4A","4L",42,583,721,19223.5,18885.95,19966.25
"723","4A","4L",43,584,722,19265,18908.9,20035.4
"724","4A","4L",44,585,723,19302.5,18927,20104.55
"725","4A","4L",45,586,724,19339.5,18943,20181.1
"726","4A","4L",46,587,725,19378,18959.95,20274
"727","4A","4L",47,588,726,19421.5,18976.8,20306.4
"728","4A","4L",48,589,727,19461.5,18991,20369.15
"729","4A","4L",49,590,728,19502,19007.9,20410.15
"730","4A","4L",50,591,729,19551,19035.8,20459.3
"731","4A","4L",51,592,730,19599.5,19054.95,20522.1
"732","4A","4L",52,593,731,19642,19071.95,20577
"733","4A","4L",53,594,732,19676,19086,20618
"734","4A","4L",54,595,733,19719.5,19108.95,20655.95
"735","4A","4L",55,596,734,19754.5,19151.75,20684.45
"736","4A","4L",56,597,735,19792.5,19169.9,20758.1
"737","4A","4L",57,598,736,19832.5,19183.85,20788
"738","4A","4L",58,599,737,19873.5,19202.9,20827.1
"739","4A","4L",59,600,738,19924.5,19218.85,20872.55
"740","4A","4L",60,601,739,19957.5,19261.9,20897.15
"741","4A","4L",61,602,740,20001,19283.7,20930
"742","4A","4L",62,603,741,20036,19317.95,20945.2
"743","4A","4L",63,604,742,20074,19336,20975
"744","4A","4L",64,605,743,20114,19369.5,21006.15
"745","4A","4L",65,606,744,20156,19395.7,21034.2
"746","4A","4L",66,607,745,20189,19437.5,21071.1
"747","4A","4L",67,608,746,20227,19467.85,21101.75
"748","4A","4L",68,609,747,20270.5,19494.95,21140.1
"749","4A","4L",69,610,748,20313.5,19542.8,21177.05
"750","4A","4L",70,611,749,20351.5,19556,21189.4
"751","4A","4L",71,612,750,20394,19587.9,21225.2
"752","4A","4L",72,613,751,20439,19614,21265.05
"753","4A","4L",73,614,752,20482,19647.65,21280.1
"754","4A","4L",74,615,753,20516.5,19669.95,21311.05
"755","4A","4L",75,616,754,20551.5,19716.95,21352.1
"756","4A","4L",76,617,755,20586.5,19749.9,21379.3
"757","4A","4L",77,618,756,20637,19795.65,21411
"758","4A","4L",78,619,757,20678,19835.75,21427.15
"759","4A","4L",79,620,758,20726,19894.35,21447.05
"760","4A","4L",80,621,759,20769.5,19958.8,21469
"761","4A","4L",81,622,760,20813,20006.75,21495
"762","4A","4L",82,623,761,20858,20073.9,21515.15
"763","4A","4L",83,624,762,20903,20126.8,21538.5
"764","4A","4L",84,625,763,20953,20185.75,21579.1
"765","4A","4L",85,626,764,20989.5,20247.9,21601.15
"766","4A","4L",86,627,765,21034.5,20299.9,21630.05
"767","4A","4L",87,628,766,21079.5,20343.95,21656.05
"768","4A","4L",88,629,767,21127,20390.85,21689.1
"769","4A","4L",89,630,768,21190,20467.7,21720
"770","4A","4L",90,631,769,21238.5,20524,21764.05
"771","4A","4L",91,632,770,21313,20613.85,21820.4
"772","4A","4L",92,633,771,21432.5,20791.95,21925.1
"773","4A","4L",93,634,772,21497,20872.95,21986.05
"774","4A","4L",94,635,773,21544,20932.7,22012.05
"775","4A","4L",95,636,774,21576,20997.85,22041
"776","4A","4L",96,637,775,21608.5,21031.85,22078.35
"777","4A","4L",97,638,776,21637.5,21060,22104.05
"778","4A","4L",98,639,777,21669.5,21094.9,22125.15
"779","4A","4L",99,640,778,21696.5,21125.75,22147.2
"780","4A","5L",0,641,779,21722.5,21156.75,22169.05
"781","4A","5L",1,642,780,21748.5,21191,22186.3
"782","4A","5L",2,643,781,21779,21219.7,22210.35
"783","4A","5L",3,644,782,21798.5,21250,22235.1
"784","4A","5L",4,645,783,21822,21275,22261
"785","4A","5L",5,646,784,21839.5,21298.65,22279.1
"786","4A","5L",6,647,785,21871.5,21332.75,22299.55
"787","4A","5L",7,648,786,21893,21377,22326.15
"788","4A","5L",8,649,787,21914.5,21402,22341.1
"789","4A","5L",9,650,788,21937,21439,22359.1
"790","4A","5L",10,651,789,21961,21465.95,22386.15
"791","4A","5L",11,652,790,21987,21499.9,22408.1
"792","4A","5L",12,653,791,22012,21542.9,22426.1
"793","4A","5L",13,654,792,22042.5,21572.95,22464
"794","4A","5L",14,655,793,22070,21611.7,22483.05
"795","4A","5L",15,656,794,22097.5,21663.85,22498.05
"796","4A","5L",16,657,795,22128,21704.9,22530.15
"797","4A","5L",17,658,796,22164.5,21752.85,22553.05
"798","4A","5L",18,659,797,22197.5,21772.85,22576.6
"799","4A","5L",19,660,798,22235,21830.9,22629.2
"800","4A","5L",20,661,799,22297.5,21901.45,22684.05
"801","4A","5L",21,662,800,22411,22021.85,22892.2
"802","4A","5L",22,663,801,22493,22087.9,23024
"803","4A","5L",23,664,802,22558,22155,23115
"804","4A","5L",24,665,803,22622,22220.9,23211.65
"805","4A","5L",25,666,804,22692.5,22261,23292.1
"806","4A","5L",26,667,805,22755,22303.8,23355.2
"807","4A","5L",27,668,806,22812.5,22347.95,23426.2
"808","4A","5L",28,669,807,22875.5,22391.9,23482.3
"809","4A","5L",29,670,808,22933.5,22432.75,23539.05
"810","4A","5L",30,671,809,22994.5,22482.95,23565.2
"811","4A","5L",31,672,810,23053.5,22528,23592.05
"812","4A","5L",32,673,811,23109,22562.9,23626
"813","4A","5L",33,674,812,23165.5,22604.95,23660
"814","4A","5L",34,675,813,23228,22657.9,23691
"815","4A","5L",35,676,814,23295,22705,23712.1
"816","4A","5L",36,677,815,23358.5,22755.9,23738
"817","4A","5L",37,678,816,23420,22831.95,23760
"818","4A","5L",38,679,817,23482,22889.8,23782.1
"819","4A","5L",39,680,818,23553,22964.8,23817
"820","4A","5L",40,681,819,23619,23042.95,23850.05
"821","4A","5L",41,682,820,23688,23188.65,23888.05
"822","4A","5L",42,683,821,23757,23382.9,23944.05
"823","4A","5L",43,684,822,23836,23761.95,24014.1
"824","4A","5L",44,685,823,23900.5,23798,24200.1
"825","4A","5L",45,686,824,23947.5,23817,24337.15
"826","4A","5L",46,687,825,23988,23830.95,24428.7
"827","4A","5L",47,688,826,24027.5,23845,24507.35
"828","4A","5L",48,689,827,24069,23854.95,24565.2
"829","4A","5L",49,690,828,24104.5,23869,24616.05
"830","4A","5L",50,691,829,24139,23883,24667
"831","4A","5L",51,692,830,24169.5,23896,24715.15
"832","4A","5L",52,693,831,24203,23909.9,24758.25
"833","4A","5L",53,694,832,24240,23921.95,24818
"834","4A","5L",54,695,833,24273.5,23936.9,24848.45
"835","4A","5L",55,696,834,24307,23949.85,24888.35
"836","4A","5L",56,697,835,24346.5,23959.85,24941.3
"837","4A","5L",57,698,836,24377,23973.9,25006.1
"838","4A","5L",58,699,837,24411.5,23984.9,25033.4
"839","4A","5L",59,700,838,24446,23998.95,25073.05
"840","4A","5L",60,701,839,24484,24011.8,25114.2
"841","4A","5L",61,702,840,24523.5,24034.75,25185.75
"842","4A","5L",62,703,841,24567,24062.7,25250.6
"843","4A","5L",63,704,842,24620,24093.65,25306.15
"844","4A","5L",64,705,843,24703.5,24127.85,25407.25
"845","4A","5L",65,706,844,24799.5,24201.95,25511.1
"846","4A","5L",66,707,845,24854.5,24249.95,25553.2
"847","4A","5L",67,708,846,24892,24280.8,25601.3
"848","4A","5L",68,709,847,24924,24306.9,25648.45
"849","4A","5L",69,710,848,24954.5,24335.9,25691
"850","4A","5L",70,711,849,24971,24362,25713.25
"851","4A","5L",71,712,850,24999,24382.9,25764.05
"852","4A","5L",72,713,851,25027.5,24403,25799.05
"853","4A","5L",73,714,852,25051,24437.5,25840.05
"854","4A","5L",74,715,853,25081.5,24453.95,25873.05
"855","4A","5L",75,716,854,25112.5,24471.75,25897.85
"856","4A","5L",76,717,855,25142,24483.9,25943.15
"857","4A","5L",77,718,856,25168.5,24504.7,25974.5
"858","4A","5L",78,719,857,25201.5,24533.95,26019.2
"859","4A","5L",79,720,858,25231,24553.65,26060.1
"860","4A","5L",80,721,859,25261,24572.9,26081.2
"861","4A","5L",81,722,860,25289,24585.8,26121.25
"862","4A","5L",82,723,861,25326,24599.7,26148.05
"863","4A","5L",83,724,862,25353.5,24621,26182.3
"864","4A","5L",84,725,863,25385.5,24639.75,26201.2
"865","4A","5L",85,726,864,25407.5,24660.55,26227.3
"866","4A","5L",86,727,865,25436,24675.9,26257.2
"867","4A","5L",87,728,866,25468,24685.9,26282.35
"868","4A","5L",88,729,867,25488,24717.2,26326.05
"869","4A","5L",89,730,868,25519,24756.55,26347.45
"870","4A","5L",90,731,869,25545.5,24774.8,26375.4
"871","4A","5L",91,732,870,25576,24801.75,26399.05
"872","4A","5L",92,733,871,25602.5,24821.75,26413.25
"873","4A","5L",93,734,872,25631.5,24839.9,26455.2
"874","4A","5L",94,735,873,25654,24854.9,26476.7
"875","4A","5L",95,736,874,25687,24865.95,26523.3
"876","4A","5L",96,737,875,25715.5,24880.9,26549.1
"877","4A","5L",97,738,876,25745,24902.85,26574.1
"878","4A","5L",98,739,877,25771,24929.65,26600.15
"879","4A","5L",99,740,878,25796.5,24949.7,26620
"880","4A","6L",0,741,879,25835.5,24973.85,26651.15
"881","4A","6L",1,742,880,25858,25016.7,26671.25
"882","4A","6L",2,743,881,25888,25028.9,26687
"883","4A","6L",3,744,882,25916.5,25065.3,26703.05
"884","4A","6L",4,745,883,25946,25091,26721.05
"885","4A","6L",5,746,884,25972.5,25116.75,26736.05
"886","4A","6L",6,747,885,26003,25131.9,26761.1
"887","4A","6L",7,748,886,26026,25188.55,26787.05
"888","4A","6L",8,749,887,26054.5,25226.55,26806.15
"889","4A","6L",9,750,888,26087.5,25256.55,26824.05
"890","4A","6L",10,751,889,26111,25269,26841.1
"891","4A","6L",11,752,890,26137.5,25286.5,26855.35
"892","4A","6L",12,753,891,26170.5,25293.35,26881
"893","4A","6L",13,754,892,26187,25318.95,26907
"894","4A","6L",14,755,893,26229,25355.4,26918.05
"895","4A","6L",15,756,894,26256,25370.95,26932.05
"896","4A","6L",16,757,895,26290,25399.6,26949.1
"897","4A","6L",17,758,896,26320,25443.55,26969.2
"898","4A","6L",18,759,897,26345.5,25455.85,26984.45
"899","4A","6L",19,760,898,26371,25503.45,27003
"900","4A","6L",20,761,899,26394,25541.8,27023.05
"901","4A","6L",21,762,900,26416.5,25565,27041.1
"902","4A","6L",22,763,901,26442.5,25583.75,27050.45
"903","4A","6L",23,764,902,26467.5,25609.55,27075.05
"904","4A","6L",24,765,903,26501.5,25642.65,27092.6
"905","4A","6L",25,766,904,26534,25673.7,27145.1
"906","4A","6L",26,767,905,26559,25711.85,27160.05
"907","4A","6L",27,768,906,26580.5,25741.85,27165.5
"908","4A","6L",28,769,907,26608,25751.7,27176.35
"909","4A","6L",29,770,908,26634,25788.9,27187.15
"910","4A","6L",30,771,909,26656,25808.95,27202.05
"911","4A","6L",31,772,910,26691.5,25837.7,27230
"912","4A","6L",32,773,911,26712,25882.7,27238.05
"913","4A","6L",33,774,912,26740.5,25925.75,27254.15
"914","4A","6L",34,775,913,26761.5,25971.95,27273.35
"915","4A","6L",35,776,914,26789.5,26012.45,27302.55
"916","4A","6L",36,777,915,26809,26049.9,27321
"917","4A","6L",37,778,916,26835,26082.6,27329.05
"918","4A","6L",38,779,917,26864,26134.75,27353.1
"919","4A","6L",39,780,918,26889,26175.25,27367.15
"920","4A","6L",40,781,919,26914,26223.15,27389
"921","4A","6L",41,782,920,26936.5,26242.8,27399.05
"922","4A","6L",42,783,921,26964.5,26296.95,27410.05
"923","4A","6L",43,784,922,26988,26361.7,27427.05
"924","4A","6L",44,785,923,27017.5,26415.65,27438.15
"925","4A","6L",45,786,924,27044,26445.95,27455
"926","4A","6L",46,787,925,27071,26486.95,27470.05
"927","4A","6L",47,788,926,27095,26539.9,27485.45
"928","4A","6L",48,789,927,27121.5,26596.5,27502.15
"929","4A","6L",49,790,928,27149,26663.65,27520.1
"930","4A","6L",50,791,929,27191,26716.85,27547.55
"931","4A","6L",51,792,930,27224,26800.85,27584.2
"932","4A","6L",52,793,931,27302.5,26923.85,27650
"933","4A","6L",53,794,932,27368.5,26993.85,27724.05
"934","4A","6L",54,795,933,27421,27055,27767.05
"935","4A","6L",55,796,934,27463,27101.9,27807.35
"936","4A","6L",56,797,935,27511.5,27154.95,27847.25
"937","4A","6L",57,798,936,27552.5,27201.95,27910.05
"938","4A","6L",58,799,937,27597.5,27247.65,27954.35
"939","4A","6L",59,800,938,27653,27290.35,28020.15
"940","4A","6L",60,801,939,27729.5,27334,28102
"941","4A","6L",61,802,940,27839,27416.9,28468.15
"942","4A","6L",62,803,941,27918,27471.95,28641.1
"943","4A","6L",63,804,942,27987.5,27506.95,28814.6
"944","4A","6L",64,805,943,28053,27539.85,28974.25
"945","4A","6L",65,806,944,28118,27575.6,29071.35
"946","4A","6L",66,807,945,28180.5,27612.9,29168.3
"947","4A","6L",67,808,946,28233,27622.95,29286.05
"948","4A","6L",68,809,947,28287,27647.8,29395.05
"949","4A","6L",69,810,948,28344,27671.9,29440.45
"950","4A","6L",70,811,949,28407,27710.85,29483.3
"951","4A","6L",71,812,950,28455,27743.95,29538.6
"952","4A","6L",72,813,951,28504.5,27766,29597.2
"953","4A","6L",73,814,952,28546.5,27799.8,29689
"954","4A","6L",74,815,953,28613,27829.65,29751.35
"955","4A","6L",75,816,954,28654.5,27860.8,29853.2
"956","4A","6L",76,817,955,28709,27889.85,29921.6
"957","4A","6L",77,818,956,28770.5,27912.65,29998.2
"958","4A","6L",78,819,957,28826,27934.6,30065.25
"959","4A","6L",79,820,958,28868.5,27949.7,30128.7
"960","4A","6L",80,821,959,28918.5,27970.85,30198.15
"961","4A","6L",81,822,960,28966,28016.7,30255.35
"962","4A","6L",82,823,961,29024.5,28034.9,30310.6
"963","4A","6L",83,824,962,29077.5,28050.8,30372.1
"964","4A","6L",84,825,963,29128.5,28069.8,30455.6
"965","4A","6L",85,826,964,29160.5,28089.95,30522.55
"966","4A","6L",86,827,965,29204.5,28125.4,30589.2
"967","4A","6L",87,828,966,29262,28164.4,30644.05
"968","4A","6L",88,829,967,29315,28204.95,30690.3
"969","4A","6L",89,830,968,29367.5,28247.55,30725.1
"970","4A","6L",90,831,969,29424,28269.75,30773.8
"971","4A","6L",91,832,970,29470.5,28281.85,30869.65
"972","4A","6L",92,833,971,29508,28310.75,30903.5
"973","4A","6L",93,834,972,29560.5,28329.75,30939.25
"974","4A","6L",94,835,973,29618,28365.8,30990.3
"975","4A","6L",95,836,974,29670,28409.35,31039.2
"976","4A","6L",96,837,975,29713.5,28425.8,31092.2
"977","4A","6L",97,838,976,29773.5,28462.5,31151.15
"978","4A","6L",98,839,977,29816.5,28487.25,31191.75
"979","4A","6L",99,840,978,29862,28508.8,31281.05
"980","4A","7L",0,841,979,29904.5,28540.4,31354.1
"981","4A","7L",1,842,980,29937.5,28590.8,31389.05
"982","4A","7L",2,843,981,29993,28632.45,31422.1
"983","4A","7L",3,844,982,30039,28695.35,31481.25
"984","4A","7L",4,845,983,30102,28742.75,31562.25
"985","4A","7L",5,846,984,30144.5,28776.95,31639.25
"986","4A","7L",6,847,985,30187.5,28820.55,31677.25
"987","4A","7L",7,848,986,30230.5,28861.5,31715.15
"988","4A","7L",8,849,987,30280,28881,31760.95
"989","4A","7L",9,850,988,30326,28915.7,31832.05
"990","4A","7L",10,851,989,30372.5,28951.75,31884.35
"991","4A","7L",11,852,990,30425,29011.35,31903.7
"992","4A","7L",12,853,991,30466.5,29058.9,31932.65
